product_id,client_id,year,revenue,expenses,profit
5,70037,2018,53747929.16,84341.66,53663587.5
4,52266,2017,97939126.46,282164.68,97656961.78
8,63167,2016,57334322.07,151010.36,57183311.71
3,19041,2013,64758795.85,351564.78,64407231.07
8,27675,2010,9818385.73,329167.49,9489218.24
9,45195,2020,82444971.6,291093.67,82153877.93
3,56785,2010,24521441.4,26835.25,24494606.15
7,69078,2012,95801414.45,114753.36,95686661.09
9,47901,2011,74400253.25,497076.56,73903176.69
9,38331,2021,47933372.32,373513.05,47559859.27
6,74910,2019,30959077.71,312200.38,30646877.33
4,29204,2012,99065767.51,235879.07,98829888.44
5,81223,2013,94500807.68,265863.48,94234944.2
3,23160,2017,61236083.8,95837.59,61140246.21
9,83853,2020,43958818.23,289636.77,43669181.46
1,16043,2010,58468711.71,474105.5,57994606.21
4,87269,2012,16643620.91,17030.51,16626590.4
1,2998,2013,41784648.26,20812.07,41763836.19
4,65053,2023,33909733.65,400027.97,33509705.68
1,35381,2016,24916375.33,14283.67,24902091.66
8,68700,2016,77077683.09,244274.44,76833408.65
7,82633,2011,21691888.23,307676.23,21384212.0
3,7488,2014,34476723.04,205960.73,34270762.31
6,41406,2019,71573131.9,68587.76,71504544.14
3,14712,2014,23646482.23,371980.06,23274502.17
4,4990,2012,89445718.47,332800.98,89112917.49
6,50792,2021,19134717.19,358039.33,18776677.86
8,19296,2018,66765940.79,393570.57,66372370.22
7,50927,2022,85465965.27,47442.77,85418522.5
3,40224,2011,17424994.12,335817.27,17089176.85
5,82240,2021,88580476.42,453276.91,88127199.51
4,32529,2012,13272319.35,76418.98,13195900.37
6,51431,2012,21578602.24,60428.64,21518173.6
7,85491,2017,5273303.03,427218.97,4846084.06
3,86242,2016,77313767.74,270155.05,77043612.69
8,22903,2014,490681.27,191444.44,299236.83
2,34497,2010,25688557.96,204752.26,25483805.7
5,15959,2017,55581277.49,82343.25,55498934.24
5,77339,2021,84129870.18,304064.24,83825805.94
7,12619,2010,53164170.17,360399.5,52803770.67
2,49002,2015,56214950.18,9422.93,56205527.25
9,47803,2015,52278558.07,291210.94,51987347.13
4,77457,2016,5584409.45,239730.37,5344679.08
6,49416,2018,92772787.74,246648.85,92526138.89
7,19197,2020,8816202.34,178476.26,8637726.08
4,5992,2022,46494818.98,288114.51,46206704.47
4,30029,2014,32103853.07,432554.96,31671298.11
2,6263,2020,28493171.2,194270.83,28298900.37
3,71178,2017,45841588.55,3606.83,45837981.72
4,15377,2014,3060230.32,412501.57,2647728.75
8,77105,2023,29939440.65,122555.89,29816884.76
3,86859,2021,74836409.89,7441.47,74828968.42
3,6367,2020,8565943.17,307665.86,8258277.31
8,50964,2015,81711265.67,253152.61,81458113.06
6,11011,2011,57354081.15,138049.3,57216031.85
8,11612,2019,99242298.25,121571.58,99120726.67
6,23121,2016,76179319.37,406658.32,75772661.05
7,55174,2016,40059665.29,207499.87,39852165.42
8,73047,2017,50711863.33,344409.3,50367454.03
9,76674,2010,71161293.12,375646.55,70785646.57
9,37597,2018,38450039.34,157793.85,38292245.49
2,29840,2018,15385317.09,383285.01,15002032.08
9,60526,2013,12762226.81,462912.77,12299314.04
4,29275,2017,2239977.03,237532.26,2002444.77
7,64725,2011,56368526.92,192478.51,56176048.41
8,33390,2022,89799752.0,403059.15,89396692.85
4,58192,2015,70298677.39,46492.05,70252185.34
1,59450,2018,21599870.01,87275.63,21512594.38
6,62380,2016,89146939.72,177332.0,88969607.72
3,9843,2019,94628038.54,149056.58,94478981.96
9,66163,2021,1301808.14,421990.74,879817.4
3,47420,2013,23777233.25,359339.26,23417893.99
6,3980,2020,65344379.62,427239.61,64917140.01
3,42927,2015,31698394.31,351339.93,31347054.38
5,67871,2022,94077218.24,114588.42,93962629.82
5,22890,2018,35181944.72,337456.53,34844488.19
7,67402,2016,50122338.87,421622.12,49700716.75
1,23645,2013,93554743.47,228318.85,93326424.62
3,70863,2015,78198925.25,433518.22,77765407.03
7,14840,2014,2067806.85,408132.24,1659674.61
3,85210,2015,94151344.79,302066.16,93849278.63
9,25531,2023,81499032.04,348594.04,81150438.0
2,37660,2022,52956170.83,443401.98,52512768.85
2,17749,2022,49044107.85,388831.35,48655276.5
3,8907,2019,83565256.75,206470.27,83358786.48
1,44820,2021,79142961.58,132321.55,79010640.03
6,24402,2014,24142427.35,55940.08,24086487.27
5,29096,2010,32631283.81,29993.38,32601290.43
5,45707,2011,26415492.3,169757.17,26245735.13
3,75469,2015,46370541.85,133847.19,46236694.66
6,85445,2017,10818022.78,487388.09,10330634.69
4,26875,2022,41718234.9,241370.4,41476864.5
5,38813,2014,50247010.22,452464.6,49794545.62
2,40684,2020,99117142.03,172813.78,98944328.25
5,86298,2018,40242911.65,358755.9,39884155.75
