location_id,region,city
1,Tanger-Tetouan-Al Hoceima,Tanger
2,Tanger-Tetouan-Al Hoceima,Tanger
3,Fes-Meknes,Fes
4,Fes-Meknes,Fes
5,Tanger-Tetouan-Al Hoceima,Tanger
6,Rabat-Sale-Kenitra,Rabat
7,Fes-Meknes,Fes
8,Casablanca-Settat,Casablanca
9,Rabat-Sale-Kenitra,Rabat
10,Rabat-Sale-Kenitra,Sale
11,Fes-Meknes,Fes
12,Marrakech-Safi,Safi
13,Tanger-Tetouan-Al Hoceima,Tetouan
14,Tanger-Tetouan-Al Hoceima,Tanger
15,Rabat-Sale-Kenitra,Sale
16,Casablanca-Settat,Settat
17,Casablanca-Settat,Casablanca
18,Marrakech-Safi,Marrakech
19,Casablanca-Settat,Casablanca
20,Fes-Meknes,Meknes
21,Casablanca-Settat,Settat
22,Fes-Meknes,Meknes
23,Rabat-Sale-Kenitra,Sale
24,Fes-Meknes,Meknes
25,Fes-Meknes,Meknes
26,Fes-Meknes,Meknes
27,Rabat-Sale-Kenitra,Sale
28,Casablanca-Settat,Casablanca
29,Marrakech-Safi,Marrakech
30,Casablanca-Settat,Casablanca
31,Fes-Meknes,Fes
32,Rabat-Sale-Kenitra,Sale
33,Marrakech-Safi,Safi
34,Tanger-Tetouan-Al Hoceima,Hoceima
35,Rabat-Sale-Kenitra,Kenitra
36,Marrakech-Safi,Safi
37,Fes-Meknes,Fes
38,Tanger-Tetouan-Al Hoceima,Tetouan
39,Casablanca-Settat,Settat
40,Casablanca-Settat,Casablanca
41,Fes-Meknes,Meknes
42,Tanger-Tetouan-Al Hoceima,Hoceima
43,Marrakech-Safi,Marrakech
44,Fes-Meknes,Fes
45,Casablanca-Settat,Settat
46,Tanger-Tetouan-Al Hoceima,Tetouan
47,Marrakech-Safi,Safi
48,Marrakech-Safi,Safi
49,Fes-Meknes,Meknes
50,Fes-Meknes,Fes
51,Fes-Meknes,Fes
52,Fes-Meknes,Fes
53,Casablanca-Settat,Settat
54,Casablanca-Settat,Casablanca
55,Casablanca-Settat,Casablanca
56,Tanger-Tetouan-Al Hoceima,Hoceima
57,Fes-Meknes,Fes
58,Marrakech-Safi,Safi
59,Casablanca-Settat,Settat
60,Tanger-Tetouan-Al Hoceima,Tanger
61,Fes-Meknes,Meknes
62,Tanger-Tetouan-Al Hoceima,Tetouan
63,Marrakech-Safi,Marrakech
64,Casablanca-Settat,Settat
65,Tanger-Tetouan-Al Hoceima,Hoceima
66,Casablanca-Settat,Settat
67,Rabat-Sale-Kenitra,Rabat
68,Marrakech-Safi,Safi
69,Fes-Meknes,Meknes
70,Rabat-Sale-Kenitra,Kenitra
71,Rabat-Sale-Kenitra,Rabat
72,Marrakech-Safi,Marrakech
73,Casablanca-Settat,Casablanca
74,Marrakech-Safi,Safi
75,Tanger-Tetouan-Al Hoceima,Tanger
76,Marrakech-Safi,Safi
77,Rabat-Sale-Kenitra,Rabat
78,Rabat-Sale-Kenitra,Sale
79,Rabat-Sale-Kenitra,Kenitra
80,Tanger-Tetouan-Al Hoceima,Tanger
81,Tanger-Tetouan-Al Hoceima,Tetouan
82,Marrakech-Safi,Marrakech
83,Tanger-Tetouan-Al Hoceima,Tanger
84,Rabat-Sale-Kenitra,Rabat
85,Tanger-Tetouan-Al Hoceima,Hoceima
86,Casablanca-Settat,Casablanca
87,Fes-Meknes,Fes
88,Marrakech-Safi,Safi
89,Marrakech-Safi,Safi
90,Rabat-Sale-Kenitra,Rabat
91,Rabat-Sale-Kenitra,Rabat
92,Tanger-Tetouan-Al Hoceima,Tanger
93,Marrakech-Safi,Marrakech
94,Marrakech-Safi,Safi
95,Casablanca-Settat,Settat
96,Rabat-Sale-Kenitra,Rabat
97,Tanger-Tetouan-Al Hoceima,Tetouan
98,Tanger-Tetouan-Al Hoceima,Tetouan
99,Casablanca-Settat,Settat
100,Marrakech-Safi,Safi
101,Fes-Meknes,Meknes
102,Marrakech-Safi,Marrakech
103,Casablanca-Settat,Casablanca
104,Rabat-Sale-Kenitra,Kenitra
105,Rabat-Sale-Kenitra,Kenitra
106,Marrakech-Safi,Marrakech
107,Tanger-Tetouan-Al Hoceima,Tetouan
108,Casablanca-Settat,Casablanca
109,Casablanca-Settat,Settat
110,Casablanca-Settat,Settat
111,Fes-Meknes,Meknes
112,Tanger-Tetouan-Al Hoceima,Tanger
113,Fes-Meknes,Fes
114,Marrakech-Safi,Safi
115,Marrakech-Safi,Marrakech
116,Fes-Meknes,Meknes
117,Marrakech-Safi,Safi
118,Fes-Meknes,Fes
119,Marrakech-Safi,Safi
120,Fes-Meknes,Fes
121,Marrakech-Safi,Safi
122,Tanger-Tetouan-Al Hoceima,Tanger
123,Tanger-Tetouan-Al Hoceima,Tetouan
124,Tanger-Tetouan-Al Hoceima,Tanger
125,Marrakech-Safi,Safi
126,Fes-Meknes,Fes
127,Casablanca-Settat,Settat
128,Marrakech-Safi,Safi
129,Fes-Meknes,Meknes
130,Casablanca-Settat,Casablanca
131,Tanger-Tetouan-Al Hoceima,Hoceima
132,Tanger-Tetouan-Al Hoceima,Hoceima
133,Marrakech-Safi,Safi
134,Casablanca-Settat,Settat
135,Tanger-Tetouan-Al Hoceima,Tetouan
136,Casablanca-Settat,Settat
137,Fes-Meknes,Meknes
138,Rabat-Sale-Kenitra,Kenitra
139,Rabat-Sale-Kenitra,Rabat
140,Casablanca-Settat,Casablanca
141,Fes-Meknes,Meknes
142,Casablanca-Settat,Settat
143,Rabat-Sale-Kenitra,Rabat
144,Casablanca-Settat,Casablanca
145,Casablanca-Settat,Casablanca
146,Casablanca-Settat,Settat
147,Rabat-Sale-Kenitra,Sale
148,Marrakech-Safi,Marrakech
149,Casablanca-Settat,Casablanca
150,Tanger-Tetouan-Al Hoceima,Hoceima
151,Casablanca-Settat,Settat
152,Casablanca-Settat,Casablanca
153,Tanger-Tetouan-Al Hoceima,Tanger
154,Fes-Meknes,Meknes
155,Rabat-Sale-Kenitra,Rabat
156,Fes-Meknes,Fes
157,Marrakech-Safi,Marrakech
158,Fes-Meknes,Fes
159,Marrakech-Safi,Marrakech
160,Casablanca-Settat,Casablanca
161,Casablanca-Settat,Settat
162,Rabat-Sale-Kenitra,Rabat
163,Tanger-Tetouan-Al Hoceima,Tetouan
164,Rabat-Sale-Kenitra,Sale
165,Fes-Meknes,Fes
166,Marrakech-Safi,Safi
167,Marrakech-Safi,Safi
168,Casablanca-Settat,Settat
169,Fes-Meknes,Meknes
170,Casablanca-Settat,Casablanca
171,Rabat-Sale-Kenitra,Kenitra
172,Casablanca-Settat,Casablanca
173,Marrakech-Safi,Safi
174,Fes-Meknes,Fes
175,Rabat-Sale-Kenitra,Rabat
176,Rabat-Sale-Kenitra,Kenitra
177,Rabat-Sale-Kenitra,Sale
178,Rabat-Sale-Kenitra,Rabat
179,Casablanca-Settat,Casablanca
180,Marrakech-Safi,Marrakech
181,Rabat-Sale-Kenitra,Sale
182,Casablanca-Settat,Casablanca
183,Marrakech-Safi,Marrakech
184,Tanger-Tetouan-Al Hoceima,Hoceima
185,Fes-Meknes,Fes
186,Casablanca-Settat,Casablanca
187,Rabat-Sale-Kenitra,Sale
188,Fes-Meknes,Meknes
189,Marrakech-Safi,Safi
190,Marrakech-Safi,Safi
191,Tanger-Tetouan-Al Hoceima,Tanger
192,Casablanca-Settat,Casablanca
193,Tanger-Tetouan-Al Hoceima,Tanger
194,Marrakech-Safi,Safi
195,Rabat-Sale-Kenitra,Rabat
196,Fes-Meknes,Fes
197,Tanger-Tetouan-Al Hoceima,Tanger
198,Casablanca-Settat,Casablanca
199,Casablanca-Settat,Casablanca
200,Casablanca-Settat,Settat
201,Marrakech-Safi,Safi
202,Tanger-Tetouan-Al Hoceima,Tetouan
203,Casablanca-Settat,Settat
204,Rabat-Sale-Kenitra,Rabat
205,Rabat-Sale-Kenitra,Rabat
206,Casablanca-Settat,Settat
207,Casablanca-Settat,Casablanca
208,Rabat-Sale-Kenitra,Kenitra
209,Fes-Meknes,Meknes
210,Marrakech-Safi,Marrakech
211,Tanger-Tetouan-Al Hoceima,Hoceima
212,Rabat-Sale-Kenitra,Rabat
213,Rabat-Sale-Kenitra,Kenitra
214,Marrakech-Safi,Marrakech
215,Marrakech-Safi,Marrakech
