transaction_id,account_id,type_id,amount,transaction_date
1,92569,1,10000,2023-05-28 01:34:47
2,81635,2,8000,2023-05-09 22:01:41
3,32183,3,700,2023-08-17 09:13:36
4,15948,4,2000,2023-02-18 09:09:02
5,96799,1,9000,2023-06-10 05:54:53
6,160,2,6000,2023-07-30 00:24:53
7,21897,4,700,2023-07-23 10:06:10
8,311,5,10000,2023-01-24 19:50:21
9,57533,4,7000,2023-01-19 15:14:41
10,20122,4,400,2023-02-23 03:14:37
11,62576,1,900,2023-07-20 20:42:05
12,95536,5,4000,2023-04-27 02:13:17
13,60802,2,4000,2023-03-07 23:20:07
14,42465,2,9000,2023-06-21 04:23:21
15,97234,1,500,2023-08-15 05:40:32
16,31468,1,8000,2023-01-30 19:39:18
17,97769,4,10000,2023-08-01 07:37:54
18,37539,4,9000,2023-03-21 16:34:48
19,6066,3,500,2023-06-25 00:00:46
20,4667,2,3000,2023-04-02 22:44:08
21,39233,1,600,2023-01-27 13:21:10
22,17943,1,100,2023-07-25 04:17:16
23,85301,4,10000,2023-03-01 14:07:37
24,85550,3,300,2023-07-09 06:37:24
25,93019,3,3000,2023-04-17 10:51:21
26,61318,2,5000,2023-08-20 09:18:12
27,18779,2,9000,2023-04-05 17:32:33
28,68356,5,4000,2023-03-10 20:48:55
29,55012,4,2000,2023-06-14 14:48:15
30,19353,5,2000,2023-03-20 10:47:39
31,52616,5,500,2023-05-03 14:51:42
32,77812,1,200,2023-08-17 20:14:52
33,43725,4,7000,2023-03-07 08:29:46
34,53516,1,10000,2023-07-15 14:51:43
35,49096,2,300,2023-03-03 05:56:56
36,10040,5,7000,2023-07-21 17:20:24
37,42554,1,100,2023-06-14 02:19:06
38,86794,4,6000,2023-01-29 16:44:20
39,64390,3,5000,2023-05-28 06:31:27
40,94639,2,9000,2023-03-16 08:23:14
41,76861,2,4000,2023-04-10 21:08:48
42,95997,4,8000,2023-04-15 10:47:11
43,6239,5,5000,2023-03-03 00:43:14
44,83244,1,100,2023-03-10 18:35:22
45,62436,5,900,2023-08-03 22:54:50
46,50894,5,600,2023-06-22 08:52:27
47,51424,4,7000,2023-02-13 04:51:31
48,3118,4,900,2023-05-17 12:23:52
49,1363,4,3000,2023-08-17 03:29:11
50,46468,2,400,2023-05-14 22:52:17
51,14308,2,700,2023-04-18 13:58:58
52,56414,3,900,2023-07-15 00:02:00
53,3678,4,2000,2023-07-08 18:39:49
54,83637,2,200,2023-03-20 00:45:34
55,11144,4,300,2023-04-22 02:31:45
56,30864,3,2000,2023-06-28 14:37:52
57,51789,3,200,2023-04-09 00:48:36
58,80734,2,10000,2023-07-04 16:23:04
59,50347,2,9000,2023-04-21 11:17:52
60,12283,1,6000,2023-06-15 18:26:06
61,54450,1,600,2023-08-17 00:32:36
62,26528,4,700,2023-06-17 21:40:48
63,33508,5,100,2023-01-29 17:04:19
64,74583,1,3000,2023-08-22 09:20:22
65,71817,4,1000,2023-08-07 01:11:02
66,9001,1,900,2023-02-06 06:31:36
67,10666,5,9000,2023-04-05 14:56:06
68,67801,5,6000,2023-03-17 13:10:18
69,70769,4,2000,2023-02-12 04:10:00
70,4780,1,2000,2023-05-24 07:46:43
71,59164,1,3000,2023-04-27 08:59:47
72,45931,5,100,2023-04-18 03:09:46
73,14897,1,500,2023-07-29 06:49:34
74,51371,1,400,2023-06-07 19:54:15
75,96316,5,7000,2023-07-03 01:23:14
76,1038,4,800,2023-04-09 08:11:01
77,98175,2,200,2023-01-25 21:45:37
78,12970,5,6000,2023-01-20 05:18:58
79,29570,3,10000,2023-04-10 11:35:43
80,46160,3,700,2023-07-18 18:49:42
81,66995,2,600,2023-05-17 10:44:39
82,19207,1,400,2023-01-09 19:28:59
83,92253,2,4000,2023-06-08 01:38:17
84,95990,5,4000,2023-04-02 00:32:59
85,83252,1,6000,2023-03-31 18:11:18
86,12799,2,600,2023-06-02 20:06:19
87,76554,4,100,2023-08-09 02:46:45
88,20372,2,1000,2023-01-04 00:23:13
89,64852,1,500,2023-05-20 10:27:15
90,99933,3,8000,2023-06-12 09:01:28
91,34542,4,3000,2023-05-11 19:50:06
92,12687,4,10000,2023-01-26 06:44:09
93,29468,2,300,2023-04-10 03:31:54
94,23357,2,900,2023-02-10 11:40:20
95,25691,5,8000,2023-07-09 19:18:24
96,65127,2,100,2023-03-07 20:37:48
97,63451,2,6000,2023-04-11 12:47:36
98,91152,1,8000,2023-05-25 21:56:55
99,96578,1,500,2023-03-30 22:23:51
100,72478,5,5000,2023-01-18 13:02:23
101,52475,3,3000,2023-01-02 08:12:03
102,42218,2,400,2023-08-05 10:08:19
103,27026,5,3000,2023-07-16 13:58:10
104,53298,4,700,2023-06-18 05:24:18
105,11313,5,10000,2023-06-19 14:22:56
106,5415,1,100,2023-05-05 17:19:25
107,103,1,700,2023-01-02 17:13:06
108,72251,4,5000,2023-05-14 23:55:58
109,93616,3,400,2023-06-24 13:01:19
110,64651,1,100,2023-06-05 02:38:40
111,15478,2,4000,2023-07-02 12:36:18
112,65493,2,3000,2023-02-03 17:36:33
113,88710,5,700,2023-01-10 22:16:18
114,34985,3,400,2023-01-07 12:00:14
115,98436,1,400,2023-03-05 15:39:57
116,465,2,500,2023-02-13 09:00:54
117,62211,5,300,2023-06-22 02:35:07
118,6107,4,3000,2023-03-22 23:48:18
119,68195,4,100,2023-04-18 00:09:53
120,93649,5,6000,2023-08-14 19:57:02
121,75508,2,1000,2023-06-02 23:00:38
122,41361,3,1000,2023-05-31 22:11:27
123,147,4,9000,2023-06-07 13:48:17
124,8612,4,8000,2023-02-15 10:31:26
125,91162,5,1000,2023-05-28 07:49:24
126,93428,5,6000,2023-03-25 13:07:23
127,95185,3,1000,2023-03-15 02:01:02
128,47791,5,8000,2023-05-08 20:35:19
129,8056,5,900,2023-08-03 05:00:32
130,26843,4,100,2023-01-02 04:22:08
131,71861,1,600,2023-01-20 19:02:50
132,71686,5,10000,2023-05-12 08:11:19
133,90164,5,10000,2023-04-29 03:49:00
134,23753,1,1000,2023-05-25 16:43:20
135,40854,4,600,2023-03-28 20:42:11
136,36343,4,3000,2023-07-08 13:16:39
137,93384,4,6000,2023-03-07 09:18:42
138,41237,1,500,2023-05-17 04:18:50
139,10440,4,600,2023-04-06 06:11:58
140,45429,5,4000,2023-04-05 04:31:57
141,85434,4,2000,2023-06-08 02:37:40
142,41206,2,2000,2023-01-09 09:51:55
143,38292,4,2000,2023-03-18 19:58:34
144,80721,3,800,2023-06-01 02:05:34
145,58984,5,100,2023-06-12 17:23:51
146,10862,5,2000,2023-08-21 02:39:59
147,31214,3,10000,2023-04-06 12:03:36
148,27330,2,6000,2023-05-22 10:36:04
149,40672,4,8000,2023-07-04 15:37:10
150,44177,5,500,2023-07-27 19:08:34
151,56755,3,10000,2023-04-25 23:28:29
152,1272,5,600,2023-02-18 01:15:01
153,89430,4,10000,2023-07-15 13:04:50
154,37296,4,1000,2023-06-17 14:58:53
155,13668,1,600,2023-04-11 08:44:59
156,81020,5,200,2023-03-28 13:16:28
157,44837,2,6000,2023-05-26 23:02:13
158,59306,4,3000,2023-07-25 17:39:52
159,71765,5,6000,2023-02-10 16:16:02
160,93962,4,600,2023-05-15 04:12:18
161,25895,3,4000,2023-01-16 01:32:19
162,66958,4,300,2023-02-13 12:31:25
163,85191,4,8000,2023-03-20 05:18:52
164,22195,2,900,2023-08-03 14:37:21
165,61,1,10000,2023-05-17 12:31:40
