transaction_id,pattern_id
1,33795
2,57450
3,95318
4,57839
5,81629
6,11674
7,36008
8,4352
9,52695
10,84476
11,16399
12,80717
13,87223
14,39594
15,47215
16,83770
17,27348
18,91956
19,97807
20,22637
21,40737
22,77827
23,72894
24,9186
25,55554
26,16910
27,57484
28,61952
29,27098
30,18391
31,77377
32,22328
33,27854
34,58311
35,85149
36,78587
37,49110
38,55513
39,44170
40,18422
41,15362
42,68759
43,3227
44,54663
45,78918
46,65423
47,10150
48,35509
49,17173
50,81681
51,43531
52,76224
53,18652
54,75739
55,34716
56,14526
57,85988
58,91773
59,50090
60,87470
61,446
62,55948
63,74155
64,34047
65,64978
66,44681
67,71222
68,40651
69,15322
70,67258
71,56570
72,75795
73,62551
74,69172
75,39691
76,45056
77,38717
78,71104
79,91170
80,24950
81,32067
82,50989
83,35364
84,29160
85,91040
86,34819
87,56279
88,75523
89,55481
90,49133
91,1380
92,58852
93,68088
94,98793
95,59690
96,45004
97,10713
98,37701
99,10600
100,57026
101,96348
102,76613
103,74553
104,70503
105,8144
106,97076
107,90380
108,95512
109,37388
110,79211
111,78176
112,42092
113,46180
114,18444
115,65785
116,38785
117,92424
118,5578
119,27487
120,75171
121,7350
122,62895
123,97261
124,82036
125,67787
126,35994
127,9032
128,88633
129,9943
130,19171
131,71406
132,25991
133,83741
134,73276
135,53194
136,15536
137,26947
138,7843
139,52113
140,91785
141,36990
142,11102
143,8217
144,4891
145,51180
146,57238
147,5600
148,28472
149,78802
150,26910
151,49770
152,60073
153,10215
154,35477
155,12718
156,97223
157,71963
158,54740
159,3524
160,23575
161,15038
162,8148
163,42932
164,85001
165,48645
166,74700
167,28655
168,97409
169,22307
170,95444
171,52231
172,29403
173,82278
174,88160
175,37553
176,93397
177,94229
178,81231
179,11911
180,8783
181,62314
182,82077
183,16701
184,6933
185,31444
186,1030
187,64033
188,58485
189,26084
190,87227
191,55161
192,80932
193,25522
194,31173
195,63985
196,4077
197,47305
198,61633
199,64515
200,22457
201,5478
202,29383
203,63955
204,51686
205,12121
206,19908
207,38130
208,95947
209,94137
210,76399
211,49345
212,95666
213,56812
214,64807
215,67690
216,84204
217,85482
218,48933
219,5053
220,10137
221,85307
222,92423
223,7442
224,7152
225,35155
226,38849
227,31129
228,47254
229,8778
230,45439
231,61669
232,45660
233,39912
234,80964
235,44739
236,64548
237,28420
238,68748
239,8540
240,16645
241,15476
242,20529
243,20325
244,80155
245,10493
246,26804
247,2556
248,38950
249,11901
250,61530
251,9435
252,1139
253,14733
254,2957
255,42346
256,28641
257,73988
258,85671
259,39337
260,41700
261,7502
262,24883
263,13734
264,75083
265,40389
266,82902
267,68359
268,97498
269,22851
270,6551
271,6253
272,91341
273,69586
274,67617
275,66473
276,63914
277,73451
278,28271
279,41500
280,81191
281,33543
282,53029
283,30355
284,97871
285,27041
286,12258
287,54598
288,44652
289,37005
290,3736
291,6952
292,65672
293,17347
294,19
295,53525
296,12299
297,71181
298,24680
299,39848
300,18378
301,36974
302,20319
303,66810
304,4003
305,49059
306,3420
307,75025
308,48936
309,87873
310,97173
311,99298
312,78483
313,393
314,78788
315,30415
316,22735
317,47985
318,19828
319,4353
320,42620
321,93421
322,59065
323,11103
324,94560
325,84557
326,1350
327,95264
328,9986
329,72895
330,46136
331,42184
332,88445
333,6826
334,19602
335,47211
336,52121
337,56172
338,99991
339,9734
340,43610
341,38940
342,92744
343,43145
344,39225
345,59961
346,18066
347,4541
348,97789
349,78829
350,87171
351,9027
352,68677
353,26356
354,31092
355,6153
356,23688
357,1933
358,18557
359,41991
360,61997
361,54485
362,36081
363,66223
364,3131
365,45842
366,25977
367,88571
368,5430
369,57632
370,55705
371,93099
372,5115
373,48641
374,39882
375,80469
376,93209
377,269
378,45871
379,95716
380,99676
381,3050
382,57613
383,56841
384,30009
385,19998
386,65471
387,98613
388,7196
389,13017
390,55513
391,22856
392,44646
393,95281
394,78679
395,58888
396,87969
397,50672
398,73713
399,9404
400,76981
401,60076
402,22626
403,65335
404,84431
405,32678
406,9473
407,94237
408,30325
409,36364
410,92488
411,4890
412,5485
413,11800
414,77738
415,88373
416,98146
417,70677
418,71720
419,57459
420,50892
421,7560
422,96071
423,46864
424,39536
425,38146
426,85072
427,68312
428,4449
429,81485
430,25145
431,16184
432,65712
433,88947
434,4936
435,4348
436,40311
437,21784
438,30239
439,59203
440,91712
441,62597
442,37180
443,83731
444,38466
